cap_id	date_utc	build_stamp	source	fed	reg	interval_s	gauge_frames	gauge_dt_s	gauge_base_mm	gauge_lever_mm	final_over_dev_robust	final_over_dev_all	pairwise_median	live_over_dev	live_stage	final_over_live	rms_mm	n_outlier	extent_m	dir
cap_1787742692190063	2026-08-26	Aug 26 2026 03:49:26	pw_device_backups/20260826T131444Z-prebuild-b46	22	22	0.67	0-1	2.07	143	138	0.9750	0.9750	0.9753	0.9792	post_local_ba	0.9958	4.3	0	0.49	/Users/kaidongwang/pw_device_backups/20260826T131444Z-prebuild-b46/Documents/captures_official/cap_1787742692190063
cap_1787746341555451	2026-08-26	Aug 26 2026 03:49:26	pw_device_backups/20260826T131444Z-prebuild-b46	22	22	0.60	0-1	2.13	118	113	0.9958	0.9958	0.9964	0.9835	post_local_ba	1.0125	3.3	0	0.42	/Users/kaidongwang/pw_device_backups/20260826T131444Z-prebuild-b46/Documents/captures_official/cap_1787746341555451
cap_1787751127668207	2026-08-26	Aug 26 2026 03:49:26	pw_device_backups/20260826T135712Z-objective-blur-b47	20	20	3.57	0-1	6.47	263	148	1.0237	1.0237	1.0231	1.0232	post_global_ba	1.0004	2.8	0	0.43	/Users/kaidongwang/pw_device_backups/20260826T135712Z-objective-blur-b47/post/Documents/captures_official/cap_1787751127668207
cap_1787753595689082	2026-08-26	Aug 26 2026 03:49:26	pw_device_backups/20260827T004255Z-autocapture-actual-xrslam-shadow-b48	20	20	2.40	0-1	5.00	249	229	1.0026	1.0026	1.0015	0.9966	post_global_ba	1.0060	3.4	0	0.57	/Users/kaidongwang/pw_device_backups/20260827T004255Z-autocapture-actual-xrslam-shadow-b48/post/Documents/captures_official/cap_1787753595689082
cap_1787810537127968	2026-08-27	Aug 26 2026 03:49:26	pw_device_backups/pw-autocapture-anchor-recovery-b57-20260828	20	20	1.00	0-1	4.13	165	145	1.0092	1.0092	1.0070	1.0055	post_global_ba	1.0036	2.8	0	0.38	/Users/kaidongwang/pw_device_backups/pw-autocapture-anchor-recovery-b57-20260828/post/Documents/captures_official/cap_1787810537127968
cap_1787813350268510	2026-08-27	Aug 26 2026 03:49:26	pw_device_backups/pw-autocapture-anchor-recovery-b57-20260828	23	23	1.00	0-1	1.73	120	113	1.0586	1.0586	1.0576	1.0532	post_local_ba	1.0051	3.5	0	0.57	/Users/kaidongwang/pw_device_backups/pw-autocapture-anchor-recovery-b57-20260828/post/Documents/captures_official/cap_1787813350268510
cap_1788233551290912	2026-09-01	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	2.50	0-1	10.33	279	251	1.0074	1.0074	1.0059	1.0088	post_global_ba	0.9986	4.3	0	0.60	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788233551290912
cap_1788234800013456	2026-09-01	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	2.93	0-1	2.93	237	183	1.0024	1.0024	1.0011	1.0020	post_global_ba	1.0004	2.7	0	0.58	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788234800013456
cap_1788242041497585	2026-09-01	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup103_20260906_2243	22	22	1.60	0-1	7.00	126	111	0.9898	0.9898	0.9902	0.9846	post_local_ba	1.0052	2.7	0	0.41	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788242041497585
cap_1788250111167292	2026-09-01	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup103_20260906_2243	22	22	1.47	0-1	3.27	221	220	1.0088	1.0088	1.0085	1.0120	post_local_ba	0.9968	4.0	0	0.68	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788250111167292
cap_1788259243789555	2026-09-01	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup103_20260906_2243	21	21	1.40	0-1	1.73	151	148	1.0095	1.0095	1.0065	1.0051	post_local_ba	1.0044	5.2	0	0.59	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788259243789555
cap_1788259295651081	2026-09-01	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup103_20260906_2243	20	20	1.33	0-1	1.73	136	130	0.9604	0.9604	0.9612	0.9644	post_global_ba	0.9959	7.6	0	0.66	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788259295651081
cap_1788264700794273	2026-09-01	Aug 26 2026 03:49:26	pw_backups/pw102_20260906/backup103_20260906_2243	22	22	1.33	0-1	2.20	254	250	1.0081	1.0081	1.0087	1.0095	post_local_ba	0.9986	4.1	0	0.62	/Users/kaidongwang/Developer/pw_backups/pw102_20260906/backup103_20260906_2243/Documents/captures_official/cap_1788264700794273
