DRIVER feed=/private/tmp/claude-501/-Users-kaidongwang-Documents-progecttwo/2359d42b-b338-4098-99ad-6a4c217067ad/scratchpad/offline_sfm/feeds/13f5_q0_F.jsonl n=115 max_features=13312 k=12 ratio=0.800 gpu_match=1 gpu_extract=1 size=1920x1440
  fed 99/115 frame=775 fid=98 trusted=1 add_ms=146 extract_ms=25 cand=12
  fed 100/115 frame=784 fid=99 trusted=1 add_ms=148 extract_ms=23 cand=20
  fed 101/115 frame=790 fid=100 trusted=1 add_ms=170 extract_ms=44 cand=12
  fed 102/115 frame=799 fid=101 trusted=1 add_ms=154 extract_ms=25 cand=12
  fed 103/115 frame=805 fid=102 trusted=1 add_ms=138 extract_ms=30 cand=12
  fed 104/115 frame=814 fid=103 trusted=1 add_ms=127 extract_ms=26 cand=12
  fed 105/115 frame=820 fid=104 trusted=1 add_ms=111 extract_ms=26 cand=20
  fed 106/115 frame=829 fid=105 trusted=1 add_ms=152 extract_ms=44 cand=12
  fed 107/115 frame=835 fid=106 trusted=1 add_ms=139 extract_ms=31 cand=12
  fed 108/115 frame=844 fid=107 trusted=1 add_ms=140 extract_ms=35 cand=12
  fed 109/115 frame=850 fid=108 trusted=1 add_ms=144 extract_ms=34 cand=12
  fed 110/115 frame=859 fid=109 trusted=1 add_ms=174 extract_ms=42 cand=20
  fed 111/115 frame=865 fid=110 trusted=1 add_ms=175 extract_ms=35 cand=12
  fed 112/115 frame=874 fid=111 trusted=1 add_ms=165 extract_ms=39 cand=12
  fed 113/115 frame=880 fid=112 trusted=1 add_ms=145 extract_ms=30 cand=12
  fed 114/115 frame=889 fid=113 trusted=1 add_ms=156 extract_ms=41 cand=12
  fed 115/115 frame=895 fid=114 trusted=1 add_ms=122 extract_ms=26 cand=20
STREAMED fed=115 rejected=0 stream_ms=18401.5 tvg_pairs=250048 raw_pairs=0 grow_acc=28767 grow_rej=109714 spatial_first=1075 temporal_fallback=227 spatial_attempted=0 spatial_written=0 spatial_inliers=0
FINALIZE_ASYNC phase1={"solve_ms":3.2,"n_models":1,"n_registered":115,"n_points3d":54642,"reproj_px":0.8464,"track_len":2.498,"phase1":"live_reuse"}
FINALIZE status=2 finalize_ms=5313.1
REG_EVIDENCE untrusted_fed=0 untrusted_registered=0 evidence_checked=0 evidence_failed=0 late_registered=0 unregistered_delivered=0
RESULT finalize=REFINED fed=115 rejected=0 n_reg=115/115 cloud_points=33930 n_obs=125381 stream_ms=18401.5 finalize_ms=5313.1 total_ms=23714.5
