photo_id	t_photo	source	trusted	reasons	state_at_photo	t_state	extrap_ms	wait_ms	submit_to_resolve_ms	prop_status	imu_samples	state_kind	frame_id	has_pose	cpx	cpy	cpz	cqx	cqy	cqz	cqw	bpx	bpy	bpz	bqx	bqy	bqz	bqw	propagated_t
9	254682.743200333	1	1	0	1	254682.716067541	27.133	506.250	500.047	0	5	2	477	1	0.60352194305412987	-0.58019587177622878	-0.71124757168782149	-0.42269536500327776	0.73402971393366012	0.30182085239631212	0.43753083747143889	0.5751150106416324	-0.56488913996178414	-0.70134246673940903	0.52280057967746241	-0.095961448168174007	-0.22014662348769828	0.81792812552286143	254682.743200333
10	254684.173277333	1	1	0	1	254684.116197666	57.080	476.303	466.710	0	8	2	519	1	0.34010941940972561	-0.39676920782419944	-0.76455539445595944	-0.17344762076188736	0.82515574068886754	0.17715766499780974	0.50759151037547012	0.32550865462327661	-0.36851040995906231	-0.75325853813064869	0.48419077243584691	-0.23365200658348947	-0.46082721869382398	0.70611918981033339	254684.173277333
11	254685.606230333	1	1	0	1	254685.516327583	89.903	443.480	433.373	0	11	2	561	1	0.13709530076297546	-0.038546586766230573	-0.61089499098578404	0.014823472645847435	0.85209477579134019	0.037805534711993605	0.52180988155212571	0.1372490011824761	-0.0063423802116932514	-0.60078428337749368	0.39570784516859359	-0.34224274666863064	-0.61300375589457456	0.59204020039511196	254685.606230333
12	254687.089115333	1	1	0	1	254687.016466500	72.649	460.734	433.373	0	9	2	606	1	0.21225962524455602	0.30105311645788008	-0.58753218831729692	0.037120564254507549	0.88555430394347634	0.078196681746461633	0.45640001167061128	0.21378842798203407	0.33220912479612813	-0.57463541125543005	0.37801693705750877	-0.26743013214138917	-0.652429638774499	0.59993323475956439	254687.089115333
13	254688.564604333	1	1	0	1	254688.516605125	47.999	485.383	466.710	0	6	2	651	1	0.41387755451709551	0.072904993856383674	-0.48530582697863373	-0.1332359044927649	0.86385275307235287	0.20355962942953332	0.44110106012375794	0.40237610205199437	0.10092306057452208	-0.4704039653319278	0.45584393301923498	-0.16796715198766621	-0.51662411433434663	0.70504813244980657	254688.564604333
14	254690.013961333	1	1	0	1	254689.916734333	97.227	436.156	433.373	0	12	2	693	1	0.5546982058551273	-0.1162329700899702	-0.63056850978282908	-0.1335487037307615	0.77257540288096327	0.18817338241215273	0.59150893649986447	0.53995430711513381	-0.088230913082810836	-0.61882699347192538	0.55131864020542387	-0.28520129780092041	-0.45186010030606533	0.64072648333443039	254690.013961333
15	254691.401618333	1	1	0	1	254691.316863500	84.755	448.628	433.373	0	10	2	735	1	0.67483629067952566	-0.22447054450957044	-0.48505836595455909	-0.26834356657448938	0.75948729448619368	0.21344752001031642	0.55282093774209484	0.65328863421324801	-0.19988562963615938	-0.47665352131322197	0.54183360826993265	-0.23997323864780992	-0.34729105130349774	0.72678615243177047	254691.401618333
16	254692.855879333	1	1	0	1	254692.817001333	38.878	494.504	466.710	0	6	2	780	1	0.56467530196264182	-0.32017834249328714	-0.084412557512878336	-0.40421563125140614	0.78277870913470615	0.15503115696326455	0.44702640812433192	0.53955350192077678	-0.2978952680034373	-0.08098900586247873	0.42571897561131955	-0.20647181667682118	-0.26768451235605423	0.83933172498561193	254692.855879333
17	254694.377560333	1	1	0	1	254694.317138916	60.421	472.961	466.709	0	8	2	825	1	0.87611467874566895	-0.43539386017832393	-0.11344691610563434	-0.65919210114462967	0.652058261027472	0.24204098546536876	0.28583563910364851	0.84289604242454164	-0.43189889567255202	-0.10858190058308169	0.37326513093143587	-0.030967495743415108	0.0050443865885306883	0.92719399825606374	254694.377560333
18	254695.833813333	1	1	0	1	254695.817276416	16.537	516.845	500.046	0	4	2	870	1	0.98419574757147998	-0.50454317053247566	-0.095275065397489853	-0.67837554500735586	0.59328048629050478	0.25445922944132837	0.3508210915658867	0.9504725583852498	-0.5040480360411862	-0.093910402467728998	0.42799780811555982	-0.068138124343139025	0.060171291463221026	0.89919657914325002	254695.833813333
901	254696.595685791	2	1	0	1	254696.517340416	78.345	55.000	33.336	0	10	3	891	1	1.0539769477843142	-0.56703323883563805	-0.37196077794135096	-0.63064292195289229	0.63106687011905904	0.31306487327600047	0.32562946543888632	1.0209801852457672	-0.56493408039333182	-0.36516606324716161	0.45162508599470885	-0.0088845080848366145	-0.00029977661519224179	0.89216352612642902	254696.595685791
902	254696.945685791	2	0	18	1	254696.617349375	328.336	-295.000	0.000	1	9	3	894	1	1.0613450427766622	-0.56657496101493998	-0.39486912695672133	-0.63537766356388847	0.63421471938287188	0.3054940091816265	0.31739624750273254	1.0283430042711097	-0.56438025468564179	-0.38813045716419015	0.44044991271782358	-0.0084161532042302447	0.00082232569465930919	0.89773735943902699	254696.689396000
