photo_id	t_photo	source	trusted	reasons	state_at_photo	t_state	extrap_ms	wait_ms	submit_to_resolve_ms	prop_status	imu_samples	state_kind	frame_id	has_pose	cpx	cpy	cpz	cqx	cqy	cqz	cqw	bpx	bpy	bpz	bqx	bqy	bqz	bqw	propagated_t
9	268478.163276791	1	1	0	1	268478.085797088	77.480	455.903	433.374	0	9	2	477	1	0.27124442804109522	0.35770585940763067	-0.12460011894703898	0.093541283477666604	0.84176260516494539	0.026134537935514957	0.53103934314761703	0.27585484401982557	0.38885690213937102	-0.11244620792239536	0.39398141913154561	-0.357021602120148	-0.6613597045330436	0.52907235631681004	268478.163276791
10	268479.593353791	1	1	0	1	268479.585936380	7.417	525.965	500.046	0	3	2	522	1	0.012915801865044671	0.23427255892822255	-0.59822759463995479	0.1057820521266325	0.8344455322751213	0.12324974580431358	0.52661215755584312	0.014809436027379058	0.26303644859393616	-0.58066588194088997	0.45952174647461791	-0.28522028903662749	-0.66484128310020052	0.51524287430731031	268479.593353791
11	268481.026306791	1	1	0	1	268480.986066171	40.241	493.142	466.710	0	6	2	564	1	0.010652127292583824	-0.0023715642474625258	-0.7314081003439834	-0.071584310422209696	0.79131222359045317	0.20706544514427871	0.57081048162887771	-0.00099949535603925839	0.025343935808917684	-0.71606366492766771	0.55004132810853779	-0.25720657507790828	-0.50892447446994105	0.61015997442865977	268481.026306791
12	268482.509191791	1	1	0	1	268482.486205546	22.986	510.396	500.046	0	4	2	609	1	0.40160124469449476	-0.63265843744713601	-0.80333970617316308	-0.33084483117002123	0.73884249596361817	0.21068175388272931	0.54796598036712907	0.37725692928183846	-0.61001080080454817	-0.79752594546592559	0.53644494314710189	-0.23849595738889776	-0.28849790780798379	0.75638314264099793	268482.509191791
13	268483.984680791	1	1	0	1	268483.886334130	98.347	435.035	433.373	0	12	2	651	1	0.94268347323269752	-1.05677263858836	-0.80161195266876761	-0.48896075934566269	0.5960087474952287	0.37483207257860052	0.51496788182195741	0.91003566642286748	-1.0501977951585615	-0.79611167118976578	0.62918356491590655	-0.099090978366603757	-0.075694356318993072	0.76718927525579672	268483.984680791
14	268485.434037791	1	1	0	1	268485.386471088	47.567	485.815	466.709	0	7	2	696	1	1.2636195003327555	-0.88587279217867199	0.11982326884582874	-0.39106353681099093	0.49380105602489566	0.46561510093354602	0.62163691833794787	1.2306008653059386	-0.88134987805304621	0.12517807423395261	0.7688032552306765	-0.11032408216439285	-0.072646394585587831	0.62569373737877121	268485.434037791
15	268486.821694791	1	1	0	1	268486.786598588	35.096	498.286	466.709	0	6	2	738	1	0.87399549692811596	-0.71287423635031799	0.41660802867868063	-0.49100617408028852	0.62855476635314822	0.28384269765636566	0.53222666121626572	0.84228785906906656	-0.70146016484307661	0.41853302867700665	0.5770481622243141	-0.17563398029823785	-0.097261539751038822	0.79164911186926556	268486.821694791
16	268488.275955791	1	1	0	1	268488.186725838	89.230	444.152	433.373	0	11	2	780	1	0.31524946190374747	-0.43463597462107417	-0.71026039751921943	-0.27854660936842579	0.74876103624508128	0.19081739762118144	0.57040114918196483	0.29357314176517835	-0.40957255319843272	-0.70383210040350219	0.53826278208832545	-0.26840623761557897	-0.33249180100987252	0.7264161832508943	268488.275955791
17	268489.797636791	1	1	0	1	268489.786871130	10.766	522.616	500.045	0	3	2	828	1	0.088465511735984159	0.21776675801207523	-0.65337122969379324	0.012807321569970109	0.76669988305270131	0.045866635414579082	0.64023711764423941	0.08561868155747894	0.24982090341967003	-0.64318357677027249	0.48514860347745092	-0.42028338733955056	-0.55119481570723927	0.53308252832721392	268489.797636791
18	268491.253889791	1	1	0	1	268491.186997921	66.892	466.490	433.373	0	8	2	870	1	0.22619027116974638	0.51350948488542825	-0.55223431249221488	0.11079393371590363	0.74830424620280933	0.074953340301368798	0.64972879677350681	0.22652416179132975	0.54349320249878519	-0.53673508195964048	0.51242763969663108	-0.40642761211753159	-0.60747413256294025	0.4507878530420763	268491.253889791
901	268491.999238541	2	1	0	1	268491.987070338	12.168	54.505	33.336	0	3	3	894	1	0.44107877514402077	0.56848416039665883	-0.60151247567530652	0.23373485248904385	0.84976094564842208	0.089195506662682916	0.46402431917550546	0.45225385647214578	0.5941124936961143	-0.58260038849360141	0.39118547992904917	-0.26504398806009399	-0.76614720586583662	0.43559621627127493	268491.999238541
902	268492.349238541	2	0	18	1	268491.987070338	362.168	-295.495	0.000	1	14	3	894	1	0.47950185717028782	0.57750215794081472	-0.60448748382659656	0.22397123196316554	0.85201174487316544	0.084117568953579525	0.46565777310907813	0.49034879606948567	0.6036217381892609	-0.58606270713517783	0.388749862158487	-0.26978965847556452	-0.76083483911930339	0.44409169372292828	268492.113757750
