#t_ns(== cam0/data.csv),fx,fy,cx,cy
5078511433500,454.4283854166667,454.4283854166667,321.22900390625,240.06298828125
5078528101708,454.4045817057292,454.4045817057292,321.2416585286458,240.0570068359375
5078544769875,454.4065348307292,454.4065348307292,321.23048909505206,240.05712890625
5078561438041,454.5871988932292,454.5871988932292,321.2267659505208,240.0581258138021
5078578106291,454.6537679036458,454.6537679036458,321.20505777994794,240.0662841796875
5078594774458,454.4968668619792,454.4968668619792,321.21010335286456,240.05216471354166
5078611442500,454.4363606770833,454.4363606770833,321.2138264973958,240.05448404947916
5078628110708,454.3003743489583,454.3003743489583,321.2173258463542,240.05411783854166
5078644778916,454.2715657552083,454.2715657552083,321.22353108723956,240.05098470052084
5078661447041,454.2705485026042,454.2705485026042,321.2141927083333,240.04500325520834
5078678115333,454.2904052734375,454.2904052734375,321.1982421875,240.05598958333334
5078694783500,454.2874348958333,454.2874348958333,321.20542399088544,240.0545857747396
5078711451541,454.2725830078125,454.2725830078125,321.2017008463542,240.04988606770834
5078728119708,454.1226806640625,454.1226806640625,321.20815022786456,240.0405476888021
5078744787916,454.0591227213542,454.0591227213542,321.18332926432294,240.04496256510416
5078761456083,454.0432942708333,454.0432942708333,321.1897786458333,240.0606689453125
5078778124250,454.0730387369792,454.0730387369792,321.1877034505208,240.06719970703125
5078794792333,454.1088053385417,454.1088053385417,321.1886800130208,240.06168619791666
5078811460541,454.1256510416667,454.1256510416667,321.16672770182294,240.06719970703125
5078828128750,453.9668375651042,453.9668375651042,321.16571044921875,240.07466634114584
5078844796916,453.8695475260417,453.8695475260417,321.17372639973956,240.06976318359375
5078861465083,453.8407796223958,453.8407796223958,321.1707763671875,240.08634440104166
5078878133291,453.8665771484375,453.8665771484375,321.1659749348958,240.0917765299479
5078894801375,453.8636067708333,453.8636067708333,321.174560546875,240.1041463216146
5078911469541,453.8963623046875,453.8963623046875,321.1625162760417,240.1095174153646
5078928137750,453.9073079427083,453.9073079427083,321.1629638671875,240.1100870768229
5078944805875,453.90234375,453.90234375,321.15399169921875,240.12495930989584
5078961474083,453.858642578125,453.858642578125,321.1575927734375,240.1248982747396
5078978142208,453.8566487630208,453.8566487630208,321.1590576171875,240.14310709635416
5078994810291,453.8765055338542,453.8765055338542,321.16259765625,240.1397501627604
5079011478500,453.8814697265625,453.8814697265625,321.15712483723956,240.14971923828125
5079028146666,453.8765055338542,453.8765055338542,321.13942464192706,240.1480712890625
5079044814875,453.8844401041667,453.8844401041667,321.1475016276042,240.1639200846354
5079061483041,453.8645833333333,453.8645833333333,321.15476481119794,240.1599324544271
