engine	delta_ms	scene	pose	k_ark_pct	k_lidar_pct	ate_cm	seg5_min	seg5_max	seg5_sd	win2_sd	win2_absmax	jitter_deg	same_rms_deg	same_med_deg	ark_same_rms_deg	ark_same_med_deg	s_engine_ms	s_pts_ms	g	n
base	-2	7353	front	2.5440	1.9082	3.3209	-5.9934	1.7303	2.4560	5.1679	13.7617	0.3172			0.0408		-1.0000	5.5000	0.9102	862
base	-1	13f5	backend_final	-0.2623	-2.4765	1.7836	-4.1609	3.3189	2.5288	4.2813	8.7106	0.0566	0.0566	0.0331	0.0372	0.0222	-5.0000	2.0000	0.9986	288
base	-1	13f5	front	0.0575	-2.1638	1.9772	-4.2510	5.1262	3.0798	4.6978	12.1052	0.2204			0.0222		0.0000	7.0000	0.9145	858
base	-1	6d18	backend_final	1.6936	-2.3131	3.1674	-0.6942	1.6347	0.8357	2.2215	6.2254	0.0584	0.0584	0.0406	0.0616	0.0266	-5.0000	1.5000	0.9995	288
base	-1	6d18	front	1.9655	-2.0519	3.2478	-1.0244	2.3091	1.1420	2.7124	6.5178	0.2761			0.0350		-0.5000	6.0000	0.9012	859
base	-1	7353	backend_final	2.3459	1.7114	3.0792	-5.5992	1.0041	2.4336	2.8948	7.0062	0.0686	0.0686	0.0425	0.0798	0.0306	-5.0000	3.0000	1.0010	290
base	-1	7353	front	2.5851	1.9491	3.2977	-5.5489	1.5500	2.3359	4.7684	13.0529	0.3178			0.0408		-1.0000	6.5000	0.9103	862
base	0	13f5	backend_final	-0.0466	-2.2656	1.6090	-3.7207	2.4663	2.3122	4.0126	7.5996	0.0563	0.0563	0.0338	0.0372	0.0222	-5.0000	3.0000	0.9990	288
base	0	13f5	front	0.2644	-1.9614	1.7644	-3.8678	3.8061	2.7098	4.4021	10.5711	0.2239			0.0222		0.0000	8.0000	0.9104	858
base	0	6d18	backend_final	1.6282	-2.3759	2.8508	-0.8070	1.7911	0.9050	2.3380	6.2146	0.0568	0.0568	0.0420	0.0616	0.0266	-5.0000	2.5000	0.9996	288
base	0	6d18	front	1.8834	-2.1309	2.9669	-1.1587	2.4071	1.2414	2.8234	6.0728	0.2840			0.0350		0.0000	7.5000	0.8989	859
base	0	7353	backend_final	2.5584	1.9226	3.1639	-5.4448	1.1087	2.3661	2.8158	6.1869	0.0714	0.0714	0.0412	0.0798	0.0306	-5.0000	4.0000	1.0013	290
base	0	7353	front	2.7938	2.1565	3.3371	-5.3528	1.4157	2.3074	4.1264	10.2955	0.3324			0.0408		-0.5000	8.5000	0.9067	862
base	1	13f5	backend_final	0.3598	-1.8682	1.5455	-4.4890	1.6471	2.2330	3.7080	7.6448	0.0569	0.0569	0.0357	0.0372	0.0222	-5.0000	4.0000	0.9995	288
base	1	13f5	front	0.6658	-1.5689	1.6334	-4.6811	2.3788	2.4246	4.1485	9.6001	0.2261			0.0222		0.0000	9.0000	0.9089	858
base	1	6d18	backend_final	1.4283	-2.5680	2.7471	-0.8745	1.9123	0.9354	2.4041	5.7248	0.0569	0.0569	0.0427	0.0616	0.0266	-5.5000	3.0000	0.9998	288
base	1	6d18	front	1.6520	-2.3530	2.8766	-1.1350	2.5133	1.2834	2.8852	5.7086	0.2850			0.0350		0.0000	8.5000	0.8985	859
base	1	7353	backend_final	2.7692	2.1320	3.5043	-6.7860	1.2107	2.8228	3.1795	7.3490	0.0708	0.0708	0.0432	0.0798	0.0306	-5.0000	5.0000	1.0014	290
base	1	7353	front	3.0550	2.4161	3.7077	-6.8422	1.2931	2.7880	4.0287	9.1296	0.3383			0.0408		0.5000	10.0000	0.9074	862
base	2	13f5	backend_final	0.6834	-1.5518	1.5969	-5.4444	1.3229	2.3829	3.7289	8.9855	0.0578	0.0578	0.0360	0.0372	0.0222	-5.0000	5.0000	0.9999	288
base	2	13f5	front	0.9768	-1.2649	1.6719	-5.8944	1.8398	2.5991	4.0918	8.5980	0.2280			0.0222		-0.5000	9.5000	0.9074	858
base	2	6d18	backend_final	1.2326	-2.7560	2.6236	-0.9489	1.8007	0.9660	2.4662	5.6106	0.0577	0.0577	0.0435	0.0616	0.0266	-5.5000	4.0000	1.0000	288
base	2	6d18	front	1.4419	-2.5549	2.7652	-1.2601	2.1792	1.3022	2.9258	5.3153	0.2776			0.0350		0.0000	9.5000	0.9027	859
base	2	7353	backend_final	2.9935	2.3549	3.8185	-6.8628	1.4069	2.8666	3.2895	7.5320	0.0730	0.0730	0.0450	0.0798	0.0306	-5.5000	5.5000	1.0015	290
base	2	7353	front	3.2781	2.6377	3.9986	-7.0517	1.4273	2.8811	3.9135	7.9617	0.3377			0.0408		0.0000	11.0000	0.9059	862
