frame,t,wall_ms,cpu_ms,sw_solver_ms,sw_solves,sw_iters,stop_budget,stop_time,stop_iter,stop_conv,init_solver_ms,bk_work_ms,bk_track_ms,bk_track_n,rc,state,queue_wait_ms,recording_frame
97,245421.496326833,0.0270,0.0270,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0060,197
98,245421.529663041,0.0287,0.0286,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0073,199
99,245421.562999458,0.0285,0.0284,nan,-1,-1,-1,-1,-1,-1,nan,8.4836,8.2044,1,0,1,0.0061,201
100,245421.596335791,0.0307,0.0307,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0069,203
101,245421.629672041,0.0355,0.0353,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0089,205
102,245421.663008375,0.0535,0.0535,nan,-1,-1,-1,-1,-1,-1,nan,12.5813,12.2784,1,0,1,0.0079,207
103,245421.696344708,0.0464,0.0463,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0072,209
104,245421.729680958,0.0663,0.0664,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0073,211
105,245421.763017291,0.0283,0.0283,nan,-1,-1,-1,-1,-1,-1,nan,15.1165,14.8168,1,0,1,0.0070,213
106,245421.796353666,0.0230,0.0230,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0058,215
107,245421.829689875,0.0290,0.0290,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0063,217
108,245421.863026208,0.0304,0.0303,nan,-1,-1,-1,-1,-1,-1,nan,8.3770,8.1044,1,0,1,0.0081,219
109,245421.896362583,0.0288,0.0288,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0085,221
110,245421.929698791,0.0302,0.0301,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0065,223
111,245421.963035125,0.0295,0.0295,nan,-1,-1,-1,-1,-1,-1,nan,8.7074,8.4172,1,0,1,0.0083,225
112,245421.996371291,0.0293,0.0293,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0065,227
113,245422.029707666,0.0297,0.0295,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0077,229
114,245422.063044000,0.0312,0.0312,nan,-1,-1,-1,-1,-1,-1,nan,9.3240,9.0143,1,0,1,0.0090,231
115,245422.096380250,0.0490,0.0490,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0080,233
116,245422.129716541,0.0497,0.0496,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0075,235
117,245422.163052875,0.0441,0.0442,nan,-1,-1,-1,-1,-1,-1,nan,8.6620,8.3554,1,0,1,0.0080,237
118,245422.196389125,0.0457,0.0457,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0070,239
119,245422.229725458,0.0456,0.0456,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0083,241
120,245422.263061750,0.0516,0.0515,nan,-1,-1,-1,-1,-1,-1,nan,12.4100,12.0785,1,0,1,0.0080,243
121,245422.296398000,0.0217,0.0217,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0073,245
122,245422.329734333,0.0292,0.0292,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0078,247
123,245422.363070541,0.0218,0.0218,nan,-1,-1,-1,-1,-1,-1,nan,12.3480,12.0450,1,0,1,0.0080,249
124,245422.396406791,0.0302,0.0302,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0077,251
125,245422.429743166,0.0281,0.0281,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0071,253
126,245422.463079416,0.0305,0.0306,nan,-1,-1,-1,-1,-1,-1,nan,8.4559,8.1542,1,0,1,0.0068,255
127,245422.496415666,0.0438,0.0437,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0067,257
128,245422.529751916,0.0415,0.0415,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0110,259
129,245422.563088166,0.0218,0.0217,nan,-1,-1,-1,-1,-1,-1,nan,18.6159,18.3191,1,0,1,0.0053,261
130,245422.596424458,0.0224,0.0224,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0055,263
131,245422.629760750,0.0302,0.0302,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0073,265
132,245422.663097041,0.0230,0.0229,nan,-1,-1,-1,-1,-1,-1,nan,12.3892,12.1059,1,0,1,0.0054,267
133,245422.696433250,0.0219,0.0219,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0057,269
134,245422.729769541,0.0305,0.0305,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0060,271
135,245422.763105750,0.0332,0.0331,nan,-1,-1,-1,-1,-1,-1,nan,11.4408,11.1525,1,0,1,0.0054,273
136,245422.796442041,0.0290,0.0289,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0055,275
137,245422.829778333,0.0279,0.0278,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0080,277
138,245422.863114583,0.0219,0.0219,nan,-1,-1,-1,-1,-1,-1,nan,20.7852,20.5157,1,0,1,0.0056,279
139,245422.896450916,0.0297,0.0297,nan,-1,-1,-1,-1,-1,-1,nan,0.0000,0.0000,0,0,1,0.0062,281
