# w h
1920 1440
# curr_x curr_y cpu_x cpu_y cpu_st gpu_x gpu_y gpu_st cpu_rx cpu_ry cpu_rst gpu_rx gpu_ry gpu_rst
1364.20508 765.647095 1366.42017 769.159851 1 1366.42029 769.159851 1 1364.2019 765.64624 1 1364.20203 765.646301 1
704.943115 242.881363 707.353638 244.438492 1 707.353577 244.438507 1 704.945007 242.882568 1 704.944885 242.882385 1
911.399719 1276.17285 912.459106 1277.80493 1 912.459106 1277.80493 1 911.394958 1276.17114 1 911.394958 1276.17114 1
738.849854 837.402405 740.456421 838.660583 1 740.456421 838.660583 1 738.849182 837.401306 1 738.849182 837.401306 1
818.498047 533.362244 820.951782 535.025208 1 820.951782 535.025208 1 818.531494 533.373657 1 818.531494 533.373657 1
1548.99597 1332.46826 1550.17786 1336.03296 1 1550.17786 1336.03296 1 1548.99524 1332.47192 1 1548.99524 1332.47192 1
733.642883 219.474457 735.800598 220.920517 1 735.800598 220.920456 1 733.65271 219.478699 1 733.65271 219.478653 1
1064.43994 679.181885 1066.172 681.082886 1 1066.172 681.082886 1 1064.43811 679.181396 1 1064.43811 679.181396 1
842.02301 549.232849 843.025391 550.345459 1 843.025391 550.345459 1 842.057251 549.245239 1 842.057251 549.245239 1
1414.48328 1410.56409 1415.53052 1413.52588 1 1415.53052 1413.52588 1 1414.47913 1410.56348 1 1414.47913 1410.56348 1
909.755432 281.599335 911.839233 283.332184 1 911.839172 283.332062 1 909.751831 281.598755 1 909.75177 281.598663 1
984.505493 694.602051 986.44928 696.754028 1 986.44928 696.754028 1 984.504944 694.601929 1 984.504944 694.601929 1
1423.34216 1213.01099 1424.70129 1216.2843 1 1424.70129 1216.2843 1 1423.33972 1213.00647 1 1423.33972 1213.00647 1
844.332092 1396.75964 845.37439 1398.40015 1 845.37439 1398.40015 1 844.333679 1396.75671 1 844.333679 1396.75671 1
1409.70105 1237.5907 1411.125 1240.79675 1 1411.125 1240.79675 1 1409.69983 1237.59216 1 1409.69983 1237.59216 1
881.600708 977.905334 883.147278 979.581543 1 883.147278 979.581543 1 881.595764 977.90802 1 881.595764 977.90802 1
1464.08618 916.815552 1465.797 920.243347 1 1465.79688 920.243286 1 1464.08582 916.815063 1 1464.08569 916.815002 1
1112.46875 1362.76465 1113.92749 1365.2439 1 1113.92749 1365.2439 1 1112.46887 1362.76978 1 1112.46887 1362.76978 1
1260.63599 176.489365 1263.20789 179.633148 1 1263.20789 179.633163 1 1260.64075 176.488815 1 1260.64075 176.488815 1
755.311462 644.468689 756.744202 645.629333 1 756.744202 645.629333 1 755.305725 644.464294 1 755.305725 644.464294 1
606.976868 270.570099 609.500061 272.202271 1 609.500061 272.202332 1 606.977844 270.566406 1 606.977844 270.566437 1
889.557068 1258.82715 890.694763 1260.45837 1 890.694763 1260.45837 1 889.561157 1258.82935 1 889.561157 1258.82935 1
1357.15967 840.823303 1358.91589 843.813171 1 1358.91589 843.813171 1 1357.16125 840.82489 1 1357.16125 840.82489 1
649.818909 701.57782 651.558594 702.650269 1 651.558594 702.650269 1 649.821594 701.576721 1 649.821594 701.576721 1
651.026855 663.854736 652.689636 664.860596 1 652.689636 664.860596 1 651.036743 663.855896 1 651.036743 663.855896 1
1385.01196 398.3396 1387.349 401.649536 1 1387.349 401.649536 1 1385.01099 398.342224 1 1385.01099 398.342224 1
405.899353 984.251831 407.470276 984.091187 1 407.470337 984.091187 1 405.878326 984.315125 1 405.878448 984.31488 1
854.163025 964.939636 855.596863 966.59436 1 855.596863 966.594421 1 854.173828 964.94342 1 854.173828 964.943542 1
1290.71118 1188.90247 1292.39343 1191.94348 1 1292.39343 1191.94348 1 1290.70923 1188.90186 1 1290.70923 1188.90186 1
917.815613 1007.51929 919.333435 1009.33032 1 919.333374 1009.33032 1 917.816528 1007.51746 1 917.816467 1007.5174 1
779.581909 1370.51074 780.644775 1371.98315 1 780.644775 1371.98315 1 779.583191 1370.51001 1 779.583191 1370.51001 1
661.696411 738.51709 663.454407 739.616211 1 663.454407 739.616211 1 661.70343 738.515625 1 661.70343 738.515625 1
425.358093 822.132629 427.093475 822.822083 1 427.093445 822.822021 1 425.357819 822.131958 1 425.35788 822.131897 1
407.945221 1092.42908 409.179901 1093.16895 1 409.179901 1093.16895 1 407.947693 1092.42908 1 407.947693 1092.42908 1
788.383057 696.990906 789.921997 698.113647 1 789.921997 698.113647 1 788.381226 696.984924 1 788.381226 696.984924 1
1397.15991 1267.62036 1398.47815 1270.75769 1 1398.47815 1270.75769 1 1397.15588 1267.62061 1 1397.15588 1267.62061 1
825.682678 645.030273 827.455017 646.461365 1 827.455017 646.461365 1 825.690247 645.034119 1 825.690247 645.034119 1
1196.23743 1334.76404 1198.02649 1337.81616 1 1198.02649 1337.81616 1 1196.23718 1334.76379 1 1196.23718 1334.76379 1
929.706543 1410.53223 930.736389 1412.33447 1 930.736389 1412.33447 1 929.707092 1410.53687 1 929.707092 1410.53687 1
1404.97571 940.323853 1406.57251 943.366638 1 1406.57251 943.366699 1 1404.97803 940.324341 1 1404.97803 940.324463 1
855.482788 500.482605 857.576843 502.380676 1 857.576843 502.380676 1 855.486206 500.484039 1 855.486206 500.484039 1
787.450867 620.976013 789.215759 622.38739 1 789.215759 622.38739 1 787.466309 620.98175 1 787.466309 620.98175 1
1377.03064 868.474792 1378.73755 871.684753 1 1378.73755 871.684753 1 1377.02942 868.47821 1 1377.02942 868.47821 1
1011.65143 487.307892 1013.67639 489.461151 1 1013.67639 489.461121 1 1011.64722 487.307709 1 1011.64722 487.307709 1
1663.06226 1356.37073 1664.00684 1360.09985 1 1664.00684 1360.09998 1 1663.06201 1356.37476 1 1663.06201 1356.37488 1
471.666779 1032.46179 473.200867 1033.31079 1 473.200867 1033.31079 1 471.661957 1032.46277 1 471.661957 1032.46277 1
527.032654 388.81958 529.342163 390.176758 1 529.342224 390.176758 1 527.028992 388.817322 1 527.029053 388.817291 1
533.395447 734.436035 535.309998 735.453308 1 535.309998 735.453308 1 533.395203 734.436218 1 533.395203 734.436218 1
1437.35388 1242.35559 1438.72559 1245.70801 1 1438.72559 1245.70801 1 1437.35352 1242.35364 1 1437.35352 1242.35364 1
727.375366 871.639709 728.913696 872.950623 1 728.913635 872.950623 1 727.372375 871.639404 1 727.372253 871.639465 1
556.620239 649.259888 558.443542 650.182129 1 558.443542 650.18219 1 556.621338 649.257874 1 556.621338 649.257935 1
1075.76111 734.087158 1077.38489 735.994141 1 1077.38489 735.994141 1 1075.76257 734.087646 1 1075.76257 734.087646 1
1348.23511 1369.46667 1349.75598 1372.78394 1 1349.75598 1372.78394 1 1348.23486 1369.46545 1 1348.23486 1369.46545 1
784.461609 731.399231 786.000427 732.641907 1 786.000427 732.641907 1 784.466797 731.39917 1 784.466797 731.39917 1
1109.65784 738.992188 1111.41553 741.233765 1 1111.41553 741.233765 1 1109.65576 738.991028 1 1109.65576 738.991028 1
