,all_done,seed,configs,num_running,num_done,coarse_job_obj,coarse_output_folder,coarse_submitted
254,notdone,73a4a53b,['coast'],0,0,,,
255,notdone,758cffe8,['forest'],0,0,,,
256,notdone,3f506fdf,['coast'],0,0,,,
257,notdone,3dcfa060,['coast'],0,0,,,
258,notdone,9052de4,['plain'],0,0,,,
259,notdone,46a3c3fb,['desert'],0,0,,,
260,notdone,258a581e,['plain'],0,0,,,
261,notdone,3db5f4a9,['canyon'],0,0,,,
262,notdone,467e2590,['forest'],0,0,,,
263,notdone,576196c9,['coast'],0,0,,,
264,notdone,3d202b70,['plain'],0,0,,,
265,notdone,743e9f0a,['desert'],0,0,,,
266,notdone,789c9ab,['mountain'],0,0,,,
267,notdone,2e0912c,['plain'],0,0,,,
268,notdone,847a2c4,['river'],0,0,,,
269,notdone,7139f1a7,['forest'],0,0,,,
270,notdone,696ee2e4,['plain'],0,0,,,
271,notdone,5331136f,['plain'],0,0,,,
272,notdone,5b42b54c,['plain'],0,0,,,
273,notdone,5ef3c136,['mountain'],0,0,,,
274,notdone,282c00aa,['forest'],0,0,,,
275,notdone,6bed86a3,['coast'],0,0,,,
276,notdone,2247d9cf,['coast'],0,0,,,
277,notdone,6edf9fd3,['plain'],0,0,,,
278,notdone,67e83f9f,['river'],0,0,,,
279,notdone,7ce002a,['coast'],0,0,,,
280,notdone,773ec2f7,['forest'],0,0,,,
281,notdone,6852ddc6,['plain'],0,0,,,
282,notdone,75325d89,['river'],0,0,,,
283,notdone,56fb2cd7,['canyon'],0,0,,,
284,notdone,4503f9bb,['forest'],0,0,,,
285,notdone,5fd3a6d1,['mountain'],0,0,,,
286,notdone,3f41d16,['forest'],0,0,,,
287,notdone,5bd024a1,['forest'],0,0,,,
288,notdone,411abf68,['forest'],0,0,,,
289,notdone,5416c935,['coast'],0,0,,,
290,notdone,104a971c,['plain'],0,0,,,
291,notdone,4b709628,['desert'],0,0,,,
292,notdone,421d421a,['coast'],0,0,,,
293,notdone,2ca722fb,['forest'],0,0,,,
294,notdone,358223f2,['river'],0,0,,,
295,notdone,3c1f4130,['canyon'],0,0,,,
296,notdone,18fec862,['coast'],0,0,,,
297,notdone,20fc201e,['coast'],0,0,,,
298,notdone,3566ba96,['desert'],0,0,,,
299,notdone,6f2d7355,['coast'],0,0,,,
