mesher exited
13:32:59 rss_kb=2367792
13:33:05 rss_kb=3770688
13:33:11 rss_kb=1943952
13:33:17 rss_kb=3134512
13:33:23 rss_kb=3624912
13:33:29 rss_kb=2646736
13:33:35 rss_kb=3149488
13:33:41 rss_kb=2261168
13:33:47 rss_kb=3170448
13:33:53 rss_kb=3355792
13:34:00 rss_kb=3313808
13:34:06 rss_kb=3435344
13:34:12 rss_kb=3312640
13:34:18 rss_kb=3853824
13:34:24 rss_kb=3754768
13:34:30 rss_kb=3664144
13:34:36 rss_kb=3374880
13:34:42 rss_kb=3534896
13:34:48 rss_kb=3459760
13:34:54 rss_kb=3487984
13:35:00 rss_kb=3384528
13:35:06 rss_kb=3459424
13:35:12 rss_kb=3626832
13:35:18 rss_kb=3403984
13:35:24 rss_kb=2944128
13:35:30 rss_kb=3402832
13:35:36 rss_kb=3455568
13:35:42 rss_kb=3390480
13:35:48 rss_kb=3364912
13:35:54 rss_kb=3570016
13:36:00 rss_kb=3501472
13:36:06 rss_kb=3445136
13:36:12 rss_kb=3518784
13:36:18 rss_kb=3570816
13:36:24 rss_kb=3869248
13:36:30 rss_kb=3587344
13:36:36 rss_kb=3546256
13:36:43 rss_kb=3592320
13:36:49 rss_kb=3508880
13:36:55 rss_kb=3382864
13:37:01 rss_kb=3333840
13:37:07 rss_kb=3441392
13:37:13 rss_kb=3608640
13:37:19 rss_kb=3614800
13:37:25 rss_kb=3494544
13:37:31 rss_kb=3722768
13:37:37 rss_kb=3567504
13:37:43 rss_kb=3275536
13:37:49 rss_kb=3909792
13:37:55 rss_kb=3524656
13:38:01 rss_kb=3626128
13:38:07 rss_kb=3610352
13:38:13 rss_kb=3563600
13:38:19 rss_kb=3461888
13:38:25 rss_kb=3309552
13:38:31 rss_kb=3530832
13:38:37 rss_kb=3609936
13:38:43 rss_kb=3472144
13:38:49 rss_kb=3345104
13:38:55 rss_kb=3595248
13:39:01 rss_kb=3387008
13:39:07 rss_kb=3532416
13:39:14 rss_kb=3942048
13:39:20 rss_kb=3424320
13:39:26 rss_kb=3283312
13:39:32 rss_kb=3544960
13:39:38 rss_kb=3393152
13:39:44 rss_kb=3508560
13:39:50 rss_kb=3653328
13:39:56 rss_kb=3368368
13:40:02 rss_kb=3561616
13:40:08 rss_kb=3748784
13:40:14 rss_kb=3504704
13:40:20 rss_kb=3482272
13:40:26 rss_kb=3496528
13:40:32 rss_kb=3473648
13:40:38 rss_kb=3426752
13:40:44 rss_kb=3657312
13:40:50 rss_kb=3563328
13:40:56 rss_kb=4010656
13:41:02 rss_kb=3630208
13:41:08 rss_kb=3472272
13:41:14 rss_kb=3935792
13:41:20 rss_kb=3650448
13:41:26 rss_kb=3526960
13:41:32 rss_kb=3595280
13:41:38 rss_kb=3714800
13:41:44 rss_kb=3526448
13:41:51 rss_kb=3705312
13:41:57 rss_kb=3385824
13:42:03 rss_kb=3657904
13:42:09 rss_kb=3691072
13:42:15 rss_kb=3552928
13:42:21 rss_kb=3714448
13:42:27 rss_kb=3397120
13:42:33 rss_kb=3395296
13:42:39 rss_kb=3549504
13:42:45 rss_kb=3568592
13:42:51 rss_kb=3574368
13:42:57 rss_kb=3427168
13:43:03 rss_kb=3483312
13:43:09 rss_kb=3448176
13:43:15 rss_kb=4062496
13:43:21 rss_kb=3847024
13:43:27 rss_kb=3555936
13:43:33 rss_kb=3627920
13:43:39 rss_kb=3584256
13:43:45 rss_kb=3508272
13:43:51 rss_kb=3635744
13:43:57 rss_kb=2030944
13:44:03 rss_kb=2760080
13:44:09 rss_kb=2964240
