,all_done,seed,configs,num_running,num_done,coarse_job_obj,coarse_output_folder,coarse_submitted,coarse_crash_recorded,any_fatal_crash
199,notdone,72946d7a,['coast'],0,0,,,,,
200,notdone,70a3b84c,['desert'],0,0,,,,,
201,notdone,7fe7cd06,['plain'],0,0,,,,,
202,notdone,75fc3bb5,['forest'],0,0,,,,,
203,notdone,15826934,['forest'],0,0,,,,,
204,notdone,2854b6f8,['plain'],0,0,,,,,
205,notdone,1cea2f1,['forest'],0,0,,,,,
206,notdone,469893d1,['plain'],0,0,,,,,
207,notdone,62a065c,['desert'],0,0,,,,,
208,notdone,2b599355,['coast'],0,0,,,,,
209,notdone,10974ef3,['coast'],0,0,,,,,
210,notdone,6650c672,['mountain'],0,0,,,,,
211,notdone,136d192d,['coast'],0,0,,,,,
212,notdone,6070446d,['desert'],0,0,,,,,
213,notdone,2b19d62b,['river'],0,0,,,,,
214,notdone,c284ae2,['mountain'],0,0,,,,,
215,notdone,5d9256bb,['desert'],0,0,,,,,
216,notdone,283f169c,['river'],0,0,,,,,
217,notdone,5e0d9ab7,['coast'],0,0,,,,,
218,notdone,e67b677,['mountain'],0,0,,,,,
219,notdone,137b518b,['river'],0,0,,,,,
220,notdone,16386fb3,['river'],0,0,,,,,
221,notdone,48761582,['plain'],0,0,,,,,
222,notdone,610bbbbf,['mountain'],0,0,,,,,
223,notdone,6d5ad1d9,['forest'],0,0,,,,,
224,notdone,69c773e3,['canyon'],0,0,,,,,
225,notdone,57202af5,['coast'],0,0,,,,,
226,notdone,623d821d,['river'],0,0,,,,,
227,notdone,6a3430c8,['canyon'],0,0,,,,,
228,notdone,21b0ac2e,['desert'],0,0,,,,,
229,notdone,4ad8978,['canyon'],0,0,,,,,
230,notdone,22c1737b,['plain'],0,0,,,,,
231,notdone,43ec812d,['coast'],0,0,,,,,
232,notdone,720245b7,['river'],0,0,,,,,
233,notdone,323f885,['forest'],0,0,,,,,
234,notdone,4b60c0f9,['forest'],0,0,,,,,
235,notdone,451ca5db,['river'],0,0,,,,,
236,notdone,2003cec2,['forest'],0,0,,,,,
237,notdone,22f12dda,['coast'],0,0,,,,,
238,notdone,3735b72e,['river'],0,0,,,,,
239,notdone,2c57f3d4,['canyon'],0,0,,,,,
240,notdone,51bc3b4f,['plain'],0,0,,,,,
241,notdone,5853b455,['coast'],0,0,,,,,
242,notdone,281c640b,['coast'],0,0,,,,,
243,notdone,3a697b9d,['desert'],0,0,,,,,
244,notdone,96d81af,['plain'],0,0,,,,,
245,notdone,7484c175,['forest'],0,0,,,,,
246,notdone,549f6a67,['forest'],0,0,,,,,
247,notdone,5bea3ab4,['coast'],0,0,,,,,
248,notdone,32aad671,['plain'],0,0,,,,,
249,notdone,4c601257,['desert'],0,0,,,,,
250,notdone,2c509ea3,['coast'],0,0,,,,,
251,notdone,39037166,['canyon'],0,0,,,,,
252,notdone,4789f0d4,['coast'],0,0,,,,,
253,notdone,6fc6ff99,['plain'],0,0,,,,,
254,notdone,1032c3e1,['desert'],0,0,,,,,
255,notdone,3d1b0987,['plain'],0,0,,,,,
256,notdone,6414608a,['plain'],0,0,,,,,
257,notdone,6d641ea,['forest'],0,0,,,,,
258,notdone,6e9bcdb9,['forest'],0,0,,,,,
259,notdone,74b10d1c,['forest'],0,0,,,,,
260,notdone,4af0267c,['plain'],0,0,,,,,
261,notdone,61234336,['coast'],0,0,,,,,
262,notdone,34ec2fd3,['desert'],0,0,,,,,
263,notdone,6fc4ad5a,['desert'],0,0,,,,,
264,notdone,2632e2ac,['coast'],0,0,,,,,
265,notdone,624a6c40,['coast'],0,0,,,,,
266,notdone,2b4981a0,['coast'],0,0,,,,,
267,notdone,6ca12191,['canyon'],0,0,,,,,
268,notdone,fb9bf7f,['desert'],0,0,,,,,
269,notdone,183ca94d,['river'],0,0,,,,,
270,notdone,7e4426db,['plain'],0,0,,,,,
271,notdone,418856cc,['plain'],0,0,,,,,
272,notdone,6472457a,['coast'],0,0,,,,,
273,notdone,11a44b82,['river'],0,0,,,,,
274,notdone,792beb73,['desert'],0,0,,,,,
275,notdone,611ed412,['plain'],0,0,,,,,
276,notdone,307bf481,['river'],0,0,,,,,
277,notdone,450d5877,['coast'],0,0,,,,,
278,notdone,5063bab1,['plain'],0,0,,,,,
279,notdone,3dfdbac1,['coast'],0,0,,,,,
280,notdone,5dc2aaef,['plain'],0,0,,,,,
281,notdone,76d9c27,['plain'],0,0,,,,,
282,notdone,4eb8bcb0,['plain'],0,0,,,,,
283,notdone,10b59a69,['coast'],0,0,,,,,
284,notdone,2c3aa0b,['coast'],0,0,,,,,
285,notdone,ce56af1,['desert'],0,0,,,,,
286,notdone,edc510e,['canyon'],0,0,,,,,
287,notdone,530155d9,['forest'],0,0,,,,,
288,notdone,4179b643,['mountain'],0,0,,,,,
289,notdone,3d3a0ac7,['coast'],0,0,,,,,
290,notdone,668d8d68,['river'],0,0,,,,,
291,notdone,3b1c0c7c,['coast'],0,0,,,,,
292,notdone,1e5c88dc,['coast'],0,0,,,,,
293,notdone,6e492241,['desert'],0,0,,,,,
294,notdone,22613219,['plain'],0,0,,,,,
295,notdone,31a9c111,['canyon'],0,0,,,,,
296,notdone,287ed787,['desert'],0,0,,,,,
297,notdone,6c39035a,['plain'],0,0,,,,,
298,notdone,1c067596,['plain'],0,0,,,,,
299,notdone,2c36f01b,['coast'],0,0,,,,,
