point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
5961,5,1.69295,1.69295,3.76611,12.0185,13
5962,3,0.785844,0.785844,1.6036,20.3362,14
5963,9,1.15171,1.15171,2.73137,30.5622,9
5964,3,1.06703,1.06703,2.74026,11.9337,14
5965,3,0.404482,0.404482,0.626859,21.6867,14
5966,4,1.60885,1.60885,3.81946,16.3912,14
5967,5,1.68035,1.68035,2.99983,10.142,14
5968,6,0.896799,0.896799,1.70088,27.0845,14
5969,4,2.04566,2.04566,3.3306,14.5946,10
5970,2,0.657237,0.657237,0.679853,5.15278,1
5971,9,1.70395,1.70395,3.20602,27.8063,16
5972,9,1.15607,1.15607,2.94909,27.0126,11
5973,11,1.34398,1.34398,3.60552,27.0247,11
5974,2,1.26497,1.26497,2.16024,11.4692,2
5975,3,1.49458,1.49458,2.63863,10.5318,8
5976,2,0.0459652,0.0459652,0.049648,24.6623,15
5977,8,1.86809,1.86809,3.1995,25.3715,14
5978,3,0.767681,0.767681,1.70915,5.12114,14
5979,2,1.1384,1.1384,1.71139,17.7469,3
5980,4,2.35068,2.35068,3.69606,18.2436,10
5981,2,0.212689,0.212689,0.235509,24.4762,15
5982,8,1.55908,1.55908,3.94188,18.7033,7
5983,9,1.62527,1.62527,2.91159,28.9137,14
5984,2,0.815865,0.815865,0.870878,6.36719,1
5985,5,1.25683,1.25683,1.77785,16.6624,4
5986,7,2.08442,2.08442,3.89237,24.7325,12
5987,8,1.66124,1.66124,3.51229,21.0602,8
5988,3,0.998834,0.998834,2.54201,17.397,18
5989,13,1.50507,1.50507,3.0758,25.8023,19
5990,3,1.10294,1.10294,2.19642,19.0487,10
5991,3,0.470894,0.470894,0.749726,21.0555,14
5992,3,0.541222,0.541222,0.999036,5.0459,2
5993,2,1.23391,1.23391,2.02967,26.9038,4
5994,10,1.35477,1.35477,2.73642,33.8026,12
5995,13,0.924325,0.924325,2.00165,26.7972,12
5996,3,0.763813,0.763813,1.82226,22.1064,10
5997,2,0.609933,0.609933,0.690691,25.6157,15
5998,2,0.348514,0.348514,0.398188,8.66942,2
5999,6,1.01119,1.01119,1.6572,24.3577,11
6000,2,0.121436,0.121436,0.123257,8.5919,1
6001,3,0.387169,0.387169,0.507658,13.8481,7
6002,12,1.58806,1.58806,3.44511,22.4351,15
6003,3,0.81914,0.81914,1.90298,13.6261,7
6004,3,0.510155,0.510155,0.9521,10.8924,3
6005,14,1.94633,1.94633,3.59707,27.197,15
6006,7,1.00094,1.00094,2.03399,18.2775,9
6007,2,0.454721,0.454721,0.459557,8.24224,2
6008,7,1.75206,1.75206,2.76133,13.9062,17
6009,7,1.00094,1.00094,2.03399,18.2775,9
6010,3,0.938223,0.938223,2.04639,8.22728,2
6011,4,1.86147,1.86147,3.2032,17.8723,10
6012,5,0.438287,0.438287,1.00838,27.4763,10
6013,8,1.62274,1.62274,3.4377,17.4658,17
6014,5,0.438287,0.438287,1.00838,27.4763,10
6015,4,0.99816,0.99816,1.57258,16.8401,14
6016,8,1.96898,1.96898,3.65163,26.9351,16
6017,4,1.20317,1.20317,3.10847,16.8423,7
6018,5,0.749159,0.749159,1.34222,11.2346,4
6019,11,1.41921,1.41921,2.47343,23.4874,10
6020,3,0.513984,0.513984,0.929701,8.02789,2
6021,4,1.45075,1.45075,3.55348,16.9769,4
6022,2,0.103954,0.103954,0.109164,3.01172,1
6023,3,0.57912,0.57912,1.14884,16.8945,17
6024,3,1.17945,1.17945,3.21605,18.4022,3
6025,3,1.08686,1.08686,2.68705,16.7051,19
6026,5,1.47461,1.47461,3.0625,10.8707,12
6027,3,0.573008,0.573008,0.926861,19.7789,4
6028,3,1.59006,1.59006,3.11613,16.6206,19
6029,3,1.32857,1.32857,3.66751,12.2667,8
6030,2,1.12182,1.12182,1.86364,4.18941,1
6031,6,1.65493,1.65493,3.16963,19.3258,10
6032,3,1.84887,1.84887,3.11451,9.48955,8
6033,3,0.816622,0.816622,1.18001,9.17097,2
6034,6,1.63532,1.63532,2.76488,26.1608,6
6035,7,1.50786,1.50786,3.10533,15.6952,6
6036,4,1.37317,1.37317,2.30528,17.1396,19
6037,7,1.53011,1.53011,2.90523,28.6195,13
6038,3,0.479972,0.479972,0.899655,15.8131,5
6039,3,1.3111,1.3111,2.36226,17.4886,14
6040,7,1.93631,1.93631,3.56778,17.621,14
6041,2,0.0951047,0.0951047,0.102379,10.039,1
6042,2,0.0586339,0.0586339,0.0635767,25.8837,15
6043,3,1.34765,1.34765,2.78138,8.12712,10
6044,4,1.3243,1.3243,2.35917,19.7061,6
6045,2,0.821174,0.821174,0.836633,8.05443,1
6046,4,1.57853,1.57853,3.86045,20.235,10
6047,9,1.44669,1.44669,3.21899,28.872,14
6048,3,1.33017,1.33017,3.27816,7.80921,2
6049,3,1.89312,1.89312,2.71951,19.5806,10
6050,3,0.756668,0.756668,1.6213,14.3995,18
6051,4,1.18694,1.18694,3.74071,16.1385,4
6052,3,1.56686,1.56686,3.12636,17.9271,8
6053,3,1.41971,1.41971,3.66814,8.64829,11
6054,2,0.371807,0.371807,0.397357,24.1962,3
6055,3,1.60371,1.60371,3.63914,13.4043,18
6056,2,1.49025,1.49025,2.60752,7.95577,1
6057,3,1.09974,1.09974,2.04266,14.2887,6
6058,2,1.31609,1.31609,2.20204,13.6397,14
6059,7,1.57193,1.57193,3.41562,31.9525,14
6060,5,1.04774,1.04774,2.26159,17.2315,6
6061,4,1.21638,1.21638,3.24738,22.0531,13
6062,4,1.57454,1.57454,3.05486,16.6381,4
6063,5,1.13201,1.13201,1.90654,21.3896,8
6064,4,1.21638,1.21638,3.24738,22.0531,13
6065,3,0.673736,0.673736,1.23083,6.56663,2
6066,2,1.07571,1.07571,1.68439,10.6243,1
6067,6,1.27942,1.27942,2.9079,11.6237,15
6068,2,1.03779,1.03779,1.43986,4.1825,1
6069,3,1.79581,1.79581,2.83948,7.33382,2
6070,2,0.496844,0.496844,0.514388,13.2779,16
6071,2,1.88963,1.88963,3.56024,8.91318,2
6072,6,1.89449,1.89449,3.22461,19.5603,8
6073,2,1.44952,1.44952,2.22423,19.9004,15
6074,3,1.45617,1.45617,3.32249,11.128,2
6075,2,0.0384876,0.0384876,0.0428729,22.5202,15
6076,2,1.37234,1.37234,2.3471,9.14182,2
6077,3,1.12112,1.12112,2.68162,11.0368,10
6078,3,0.486815,0.486815,0.606301,10.5669,2
