#t_ns(== cam0/data.csv),fx,fy,cx,cy
5093829413708,1362.9844970703125,1362.9844970703125,965.0288696289062,719.5601806640625
5093846081791,1362.9696044921875,1362.9696044921875,965.01318359375,719.5447998046875
5093862749875,1362.906982421875,1362.906982421875,964.9849243164062,719.532470703125
5093879417875,1362.77294921875,1362.77294921875,964.9852905273438,719.5661010742188
5093896086000,1362.2191162109375,1362.2191162109375,964.9296264648438,719.5604858398438
5093912753875,1362.0970458984375,1362.0970458984375,964.9297485351562,719.5475463867188
5093929422000,1361.7635498046875,1361.7635498046875,964.8713989257812,719.5479736328125
5093946090000,1361.70703125,1361.70703125,964.8699951171875,719.5383911132812
5093962758041,1361.3197021484375,1361.3197021484375,964.8300170898438,719.5496826171875
5093979426125,1361.1263427734375,1361.1263427734375,964.8555297851562,719.4822998046875
5093996094208,1360.1346435546875,1360.1346435546875,964.7918090820312,719.4973754882812
5094012762125,1359.7921142578125,1359.7921142578125,964.7666625976562,719.498291015625
5094029430208,1359.434814453125,1359.434814453125,964.7190551757812,719.5206298828125
5094046098166,1359.4228515625,1359.4228515625,964.6832275390625,719.4655151367188
5094062766291,1359.0506591796875,1359.0506591796875,964.6884765625,719.4555053710938
5094079434333,1358.8988037109375,1358.8988037109375,964.6221923828125,719.4464111328125
5094096102291,1358.3984375,1358.3984375,964.6495361328125,719.4304809570312
5094112770333,1358.1214599609375,1358.1214599609375,964.6028442382812,719.3883056640625
5094129438458,1358.076904296875,1358.076904296875,964.5926513671875,719.3738403320312
5094146106458,1358.1453857421875,1358.1453857421875,964.520263671875,719.3829345703125
5094162774541,1357.8922119140625,1357.8922119140625,964.5325317382812,719.3410034179688
5094179442583,1357.805908203125,1357.805908203125,964.4796752929688,719.3574829101562
5094196110541,1357.713623046875,1357.713623046875,964.4794921875,719.335693359375
5094212778583,1357.6956787109375,1357.6956787109375,964.4563598632812,719.3372192382812
5094229446625,1357.2996826171875,1357.2996826171875,964.444580078125,719.2974243164062
5094246114708,1357.204345703125,1357.204345703125,964.4281616210938,719.3099975585938
5094262782750,1357.27587890625,1357.27587890625,964.430908203125,719.3067016601562
5094279450833,1357.2996826171875,1357.2996826171875,964.3784790039062,719.2626342773438
5094296118750,1357.1805419921875,1357.1805419921875,964.3892211914062,719.2748413085938
