point_index,track_length,stored_reprojection_error_px,mean_reprojection_error_px,max_reprojection_error_px,max_triangulation_angle_deg,frame_span
14600,2,0.752442,0.752442,0.773907,3.94236,1
14601,2,1.09931,1.09931,1.65408,4.78869,1
14602,2,0.120635,0.120635,0.1224,2.20887,1
14603,2,0.416806,0.416806,0.428417,3.11441,1
14604,2,0.195161,0.195161,0.19886,2.19115,1
14605,2,0.448531,0.448531,0.457144,2.8454,1
14606,2,0.246083,0.246083,0.248477,2.93845,1
14607,2,0.246083,0.246083,0.248477,2.93845,1
14608,2,1.75614,1.75614,3.18853,2.64113,1
14609,2,0.0493463,0.0493463,0.0503369,2.80389,1
14610,2,0.159422,0.159422,0.161428,2.94825,1
14611,2,0.185005,0.185005,0.186485,2.96489,1
14612,2,0.178699,0.178699,0.179904,3.01564,1
14613,2,0.102152,0.102152,0.103196,2.96641,1
14614,2,0.0339129,0.0339129,0.0341937,3.01146,1
14615,2,0.00740817,0.00740817,0.00748666,2.98785,1
14616,2,0.223522,0.223522,0.243248,9.82379,2
14617,2,1.95223,1.95223,3.61034,3.75716,1
14618,2,0.105698,0.105698,0.107339,3.83967,1
14619,2,0.430726,0.430726,0.447936,4.35593,1
14620,2,1.59615,1.59615,2.82157,4.07109,1
14621,2,1.06543,1.06543,1.48559,4.22142,1
14622,2,0.528562,0.528562,0.554806,4.33714,1
14623,2,0.449731,0.449731,0.472397,3.93988,1
14624,2,1.53351,1.53351,2.67347,3.7611,1
14625,3,1.15874,1.15874,2.54625,9.75253,2
14626,3,1.0613,1.0613,1.33956,9.70097,2
14627,2,0.200105,0.200105,0.205828,3.52738,1
14628,2,0.0480438,0.0480438,0.0491618,3.50451,1
14629,2,0.0601013,0.0601013,0.0615239,3.49492,1
14630,2,0.650339,0.650339,0.682455,3.46813,1
14631,2,0.588123,0.588123,0.627092,3.50439,1
14632,3,1.03213,1.03213,2.60888,11.6432,2
14633,2,0.247007,0.247007,0.261614,11.288,2
14634,2,1.85847,1.85847,3.41229,2.60634,1
14635,2,0.0732113,0.0732113,0.073587,4.34429,1
14636,2,0.777356,0.777356,0.937868,3.2131,1
14637,2,1.18314,1.18314,1.93184,2.91521,1
14638,2,1.37341,1.37341,2.39125,2.72295,1
14639,2,1.72625,1.72625,3.07319,2.69887,1
14640,2,2.08631,2.08631,3.87493,2.51438,1
14641,2,2.00915,2.00915,3.70695,2.68295,1
14642,2,2.00915,2.00915,3.70695,2.68295,1
14643,2,0.0207258,0.0207258,0.0218103,2.5834,1
14644,2,0.641529,0.641529,0.722608,2.68067,1
14645,2,0.978693,0.978693,1.4168,2.17039,1
14646,2,0.870401,0.870401,1.12857,2.56328,1
14647,2,1.49534,1.49534,2.51853,2.19657,1
14648,2,0.183764,0.183764,0.194275,2.32115,1
14649,2,0.184859,0.184859,0.195353,2.33973,1
14650,2,0.665641,0.665641,0.763479,2.12366,1
14651,2,0.197872,0.197872,0.210149,2.06626,1
14652,2,1.63918,1.63918,2.93621,4.60701,1
14653,2,1.06395,1.06395,1.47125,4.47245,1
14654,2,1.64862,1.64862,2.95078,4.50566,1
14655,2,0.101386,0.101386,0.105461,12.1156,2
14656,2,0.514273,0.514273,0.543987,8.46902,1
14657,2,1.54263,1.54263,2.71543,4.55097,1
14658,2,0.550519,0.550519,0.578485,11.9794,2
14659,2,0.486338,0.486338,0.518512,11.8478,2
14660,3,1.49065,1.49065,3.09064,11.724,2
14661,3,1.49065,1.49065,3.09064,11.724,2
14662,2,1.04218,1.04218,1.3888,4.31188,1
14663,2,0.576951,0.576951,0.635358,10.918,2
14664,2,0.190582,0.190582,0.200787,11.4505,2
14665,2,0.160703,0.160703,0.167961,11.2612,2
14666,3,1.62029,1.62029,3.76505,11.4422,2
14667,2,0.0954035,0.0954035,0.100612,11.2163,2
14668,2,1.16789,1.16789,1.7768,4.14105,1
14669,2,1.96926,1.96926,3.66539,4.27627,1
14670,2,1.55998,1.55998,2.75519,4.16672,1
14671,2,0.116905,0.116905,0.11787,3.28482,1
14672,3,1.06355,1.06355,2.69642,9.74321,2
14673,2,1.20394,1.20394,1.93054,6.63967,1
14674,2,1.20394,1.20394,1.93054,6.63967,1
14675,2,1.58155,1.58155,2.78671,4.57455,1
14676,2,1.31819,1.31819,2.26054,2.786,1
