run,frame,depth_median,depth_p10,depth_p90,depth_std,conf_mean,conf_median,conf_p10,conf_p90
K35,21,0.8076171875,0.61865234375,0.9326171875,0.12402397394180298,0.11449258774518967,0.0771484375,0.013671875,0.291015625
K35,22,0.732421875,0.521484375,0.8583984375,0.12069547921419144,0.006944430526345968,0.0029296875,0.0009765625,0.0146484375
K35,23,0.69140625,0.47998046875,0.8505859375,0.12827983498573303,0.004168763291090727,0.001953125,0.0,0.009765625
K35,24,0.71533203125,0.49560546875,0.8525390625,0.12276014685630798,0.011516558937728405,0.0068359375,0.0009765625,0.0244140625
K35,25,0.69921875,0.509765625,0.85888671875,0.11940658092498779,0.007351124193519354,0.00390625,0.0009765625,0.0166015625
K35,26,0.7060546875,0.5107421875,0.859375,0.11996152997016907,0.012644809670746326,0.005859375,0.0009765625,0.02734375
K35,27,0.66162109375,0.47802734375,0.8466796875,0.12683971226215363,0.009819851256906986,0.0048828125,0.0009765625,0.0234375
K35,28,0.65234375,0.4599609375,0.830078125,0.12763869762420654,0.003811202710494399,0.001953125,0.0,0.0078125
K35,29,0.65576171875,0.470703125,0.8525390625,0.1322791576385498,0.006105972453951836,0.001953125,0.0,0.015625
K35,30,0.64990234375,0.471435546875,0.83642578125,0.1290290206670761,0.004737947601824999,0.0009765625,0.0,0.0107421875
K35,31,0.62255859375,0.45458984375,0.82080078125,0.1259482055902481,0.005136759020388126,0.001953125,0.0,0.01171875
K35,32,0.61572265625,0.44921875,0.8203125,0.12942065298557281,0.011563013307750225,0.0048828125,0.0009765625,0.025390625
K35,33,0.640625,0.44384765625,0.81982421875,0.13090603053569794,0.013867014087736607,0.0068359375,0.0009765625,0.0322265625
K35,34,0.6396484375,0.450927734375,0.830078125,0.1326320320367813,0.011086337268352509,0.0048828125,0.0009765625,0.025390625
K40,0,0.8095703125,0.6748046875,0.8740234375,0.07741781324148178,0.005553555674850941,0.001953125,0.0,0.015625
K40,1,0.828125,0.693359375,0.90625,0.08052824437618256,0.004430564120411873,0.0009765625,0.0,0.0126953125
K40,2,0.8349609375,0.70361328125,0.9033203125,0.07814723998308182,0.0023610293865203857,0.0009765625,0.0,0.0068359375
K40,3,0.86767578125,0.75048828125,0.9345703125,0.07741150259971619,0.0012355190701782703,0.0,0.0,0.0029296875
K40,4,0.85888671875,0.7080078125,0.91796875,0.08229811489582062,0.007420747075229883,0.001953125,0.0,0.021484375
K40,5,0.8427734375,0.6923828125,0.90576171875,0.08153984695672989,0.022218996658921242,0.0087890625,0.0009765625,0.060546875
K40,6,0.8271484375,0.6796875,0.8818359375,0.0812164917588234,0.09898275882005692,0.052734375,0.009765625,0.287109375
K40,7,0.7998046875,0.6591796875,0.86572265625,0.08065329492092133,0.01986686699092388,0.005859375,0.0009765625,0.052734375
K40,8,0.79638671875,0.6455078125,0.869140625,0.08343464136123657,0.01698414608836174,0.005859375,0.0009765625,0.0439453125
K40,9,0.80859375,0.6552734375,0.8876953125,0.08629056811332703,0.003493210766464472,0.0009765625,0.0,0.01171875
K40,10,0.8291015625,0.6718263626098633,0.9248046875,0.0914522334933281,0.0006914688274264336,0.0,0.0,0.001953125
K40,11,0.82373046875,0.673828125,0.9189453125,0.09157352149486542,0.000967538682743907,0.0,0.0,0.0029296875
K40,12,0.83935546875,0.736328125,0.94189453125,0.08830925077199936,0.0010290859499946237,0.0,0.0,0.0029296875
K40,13,0.8544921875,0.7451171875,0.9580078125,0.0905681923031807,0.0009463771129958332,0.0,0.0,0.001953125
K40,14,0.85498046875,0.7431640625,0.94091796875,0.08220013976097107,0.0003941888571716845,0.0,0.0,0.0009765625
K40,15,0.84814453125,0.73681640625,0.94384765625,0.08610479533672333,0.00026880382210947573,0.0,0.0,0.0009765625
K40,16,0.794921875,0.6640625,0.8916015625,0.0943729355931282,0.0002475107030477375,0.0,0.0,0.0009765625
