run,edge,nn_p50,nn_p90,nn_mean,count_a,count_b
K35,30,0.012005150322058226,0.022139807906837648,0.013221740757002266,2500,2500
K35,31,0.00852268068350484,0.019202363088880757,0.010696997062565251,2500,2500
K35,32,0.015662018546187963,0.033707029567610285,0.018530466278136457,2500,2500
K35,33,0.007184595091098242,0.018444459459118837,0.009859638761186017,2500,2500
K40,0,0.017386899870974717,0.03765307877446485,0.02106119746546635,2500,2500
K40,1,0.010451875428368859,0.027307795963092203,0.013581804814891603,2500,2500
K40,2,0.020125368289075372,0.049093407331489966,0.026044771453501075,2500,2500
K40,3,0.029236340113988242,0.06578801105248411,0.034309090755341824,2500,2500
K40,4,0.010558072088090571,0.027890233618519233,0.013801360080634748,2500,2500
K40,5,0.03236052977585132,0.05811193704155689,0.03343490203793757,2500,2500
K40,6,0.016334811293301693,0.03699396717520196,0.019608059519242597,2500,2500
K40,7,0.00974569527541361,0.023626959940224235,0.012568831647289898,2500,2500
K40,8,0.01929608460434355,0.037901058111442974,0.021515350214982177,2500,2500
K40,9,0.02199699810509219,0.06499618987866865,0.030400145830123557,2500,2500
K40,10,0.01123560078967353,0.020530609755662326,0.012398073249181196,2500,2500
K40,11,0.014036058948876598,0.031132047078151457,0.01846174608085673,2500,2500
K40,12,0.01515821737275415,0.024816899834251834,0.015946747644790885,2500,2500
K40,13,0.017121862151579743,0.031169544706549486,0.018380828819734952,2500,2500
K40,14,0.014528984977903985,0.028778576809259607,0.016381474827099136,2500,2500
K40,15,0.016134732561183602,0.04037754521530894,0.020154818268889693,2500,2500
K40,16,0.013624401951408101,0.026084673410341982,0.0149817611053796,2500,2500
K40,17,0.024100038430362965,0.05791285997026214,0.030146650601378083,2500,2500
K40,18,0.0387654441102252,0.1340910421709353,0.05982271508891731,2500,2500
K40,19,0.01246471324522569,0.03217904722873293,0.01599701538477325,2500,2500
K40,20,0.014498560460675818,0.027949826553492863,0.016083708775649113,2500,2500
K40,21,0.035309794502469495,0.09187217066685033,0.04381177673474376,2500,2500
K40,22,0.03436493465760927,0.07697235483536792,0.038617493745329044,2500,2500
K40,23,0.015337297698529814,0.0324366658637839,0.018160480254404827,2500,2500
K40,24,0.01237058352121129,0.02569133707250828,0.01535743960295232,2500,2500
K40,25,0.015407164137350996,0.025962896112676763,0.01601351032912481,2500,2500
K40,26,0.017707163750457368,0.03655803168442047,0.01988036266578544,2500,2500
