ms_since_push,fed_t_at_drain,kind,frame_id,is_keyframe,recording_frame,t_ns,engine_t,engine_t_hex,tx,ty,tz,qx,qy,qz,qw,body_tx,body_ty,body_tz,body_qx,body_qy,body_qz,body_qw
13.671,268547.963251921,1,240,1,241,268547919411000,268547.92991550505,4110640fb83bc529,1.0471620966881969,-0.18732467627363009,0.10345061373213545,-0.84014737652793237,0.49278700090372451,0.20130287212155082,0.10387764120175272,1.016198026414582,-0.19912878569891962,0.10987325374485851,0.21579520471540051,0.068890039609149648,0.24562087058433596,0.94252691208149664
162.044,268548.063261046,2,228,1,229,268547519374333,268547.52987883805,4110640e1e988ee1,0.94230633859408675,-0.16091428925121626,0.090016699560613284,-0.73839056984095586,0.58101191249986051,0.26514362016213588,0.21657201528129236,0.90941232733668742,-0.16513714197750939,0.096302595695352017,0.34062438336290091,0.034345310270558503,0.11128351285908679,0.93295841755503994
13.108,268548.063261046,1,243,1,244,268548019420250,268548.02992475504,411064101ea49851,1.0760948206382659,-0.19512973711283726,0.099231692583597805,-0.83456215924110344,0.5048082977141688,0.19468172928842301,0.10379625434233722,1.0447835233245337,-0.20602555810757003,0.10557556343256719,0.21105580064479665,0.064265733935867819,0.2331711854043369,0.9470779074358161
160.043,268548.163270296,2,231,1,232,268547619383375,268547.62988788006,4110640e85015414,0.9628271915151696,-0.16323376104620033,0.10825223926274286,-0.7791177271443197,0.54062165033959775,0.25304995498324945,0.19149300751989545,0.93045399262244843,-0.17093509693645348,0.11391142391465317,0.3143393349513432,0.043527333822382996,0.1686421887080721,0.93319663838893741
13.330,268548.163270296,1,246,1,247,268548119429375,268548.12993388006,41106410850d6316,1.0996932695827981,-0.2034250412474263,0.099850254784311088,-0.8266411793004067,0.5233205481335137,0.17303441291377528,0.11339801473631209,1.0676798133513448,-0.21276198856965994,0.10507720291732886,0.2025383065543192,0.042169300434858774,0.21448006946538548,0.95456706641339073
158.169,268548.263279421,2,234,1,235,268547719392708,268547.72989721305,4110640eeb6a2cce,0.9873786006593942,-0.17119108447488474,0.11785411904031966,-0.81445966320465102,0.50109141255030298,0.24151069865002586,0.16503178157847367,0.95589619324205899,-0.18211067715773707,0.12323756318102669,0.2874689369615025,0.054078759440265745,0.22158480915071679,0.93023506191352845
11.670,268548.263279421,1,249,1,250,268548219438541,268548.22994304606,41106410eb76309b,1.1178156405156265,-0.22147285907873118,0.099391112227834449,-0.81103346916847763,0.55643254512039564,0.13250201809145606,0.12268171434062469,1.0848647930980901,-0.22794221806286746,0.10281893963994387,0.18044214285033092,0.0069440031907707376,0.1800300351008377,0.96694446601904627
155.421,268548.363288588,2,237,1,238,268547819401875,268547.8299063801,4110640f51d2fa65,1.0178695223798073,-0.18068446849198821,0.11298244615191491,-0.83119736196561078,0.48819612430883136,0.22763046423942351,0.13769500584215261,0.98687801988552482,-0.19273116272017118,0.11879320197935658,0.25832411036181246,0.063593970809834477,0.24253849464944996,0.93295205637567191
12.198,268548.363288588,1,252,1,253,268548319447791,268548.32995229604,4110641151df03c3,1.1345550434817118,-0.23826445450906572,0.093072338404120283,-0.80628542044826335,0.57423625840772552,0.10937331194884548,0.090521114378269707,1.1014369664805608,-0.24339432058628183,0.09710202843466359,0.14134670061659368,0.013330516387747758,0.16408353168187448,0.97617621472172866
153.153,268548.467082179,2,240,1,241,268547919411000,268547.92991550505,4110640fb83bc529,1.0487396103953068,-0.18622808047896819,0.098651688839560284,-0.84133558527784724,0.49051162473948806,0.20236293818896425,0.10296637024106223,1.0178530541548056,-0.19820597858504571,0.10512560207109087,0.21590041874157231,0.070283985352638398,0.24806999489918574,0.94175816865099815
12.437,268548.467082179,1,255,1,256,268548419579625,268548.43377634609,41106411bc2fddd1,1.1531894389337043,-0.24934907070639084,0.093808638608445696,-0.79784930880407334,0.58478007706133217,0.11576669007068072,0.089815748037657711,1.1200149593399387,-0.25366074183404824,0.098305787453698362,0.14536873221155447,0.018350086601502773,0.15066269461893245,0.97766658860118827
153.375,268548.567090596,2,243,1,244,268548019420250,268548.02992475504,411064101ea49851,1.0807614441987903,-0.19476225470605107,0.096347489574749298,-0.83561057545424744,0.50295359291760378,0.19557475261041621,0.10268017780540453,1.0495141438866717,-0.20580449731431052,0.10275342848729055,0.21089807820814388,0.065686382032397128,0.23522400190228948,0.94650777532605479
13.220,268548.567090596,1,258,1,259,268548519557666,268548.53375438706,4110641222908292,1.1721268670731542,-0.26109408702646991,0.099009329089475809,-0.78741815667407056,0.59909514609809311,0.11409744230302461,0.089663143677330151,1.1388325168347899,-0.26421563587443764,0.10360314307803511,0.14408048825181341,0.017277657792072187,0.13316447428873363,0.98041293251045214
153.361,268548.667099096,2,246,1,247,268548119429375,268548.12993388006,41106410850d6316,1.1095896470367574,-0.2044467473566639,0.10161739587486054,-0.82730519878827513,0.52233087166977787,0.17374358336456139,0.1120258408167715,1.0776153717036974,-0.21387158829405933,0.10692578943572768,0.20206949231808607,0.043641033113943954,0.21564940905567392,0.95433679216354095
