ms_since_push,fed_t_at_drain,kind,frame_id,is_keyframe,recording_frame,t_ns,engine_t,engine_t_hex,tx,ty,tz,qx,qy,qz,qw,body_tx,body_ty,body_tz,body_qx,body_qy,body_qz,body_qw
8.713,268541.656665588,1,51,0,52,268541618824541,268541.62332904601,411063f67e49f82d,0.016956630298616097,0.083647571861226108,-0.18298487895479432,-0.044460834783862091,0.8380778907334252,0.0053309782122983318,0.54370977287328159,0.014526300631657448,0.11673400892530006,-0.17676056115429808,0.38823042791101708,-0.3806912864230575,-0.56117198699656334,0.62404910086940701
304.362,268541.756675130,2,21,1,22,268540618729041,268540.62323354604,411063f27e30ef48,0.0064693145206849538,0.037178461258529971,-0.053916513902574306,-0.039526860218636051,0.89081641529459976,0.017900245851372176,0.45228682931727732,0.0054109393917890838,0.070142316775610072,-0.046731458335482118,0.33247246043217904,-0.30715769065288662,-0.60195260113179772,0.65785202144374499
261.533,268541.756675130,2,26,1,27,268540785411625,268540.78991613002,411063f328dfc624,0.0072070757822222768,0.060176871396039562,-0.082972001714763086,-0.034605748548775184,0.89247699171058004,-0.011131860391538129,0.44962584037321063,0.007337117415013663,0.093461335133548221,-0.077360538906652135,0.3100620585049334,-0.32580488602623303,-0.60660655728512636,0.65554647491677009
14.186,268541.756675130,1,54,1,55,268541718834083,268541.72333858802,411063f6e4b2deee,0.028204092727657917,0.073882815860832479,-0.20968028938254912,-0.042529917793384053,0.83953467764530498,0.0024512996367765383,0.54163343274400333,0.026017967899342631,0.1070022943210641,-0.20354172629955675,0.38472599357040532,-0.38125933247087052,-0.56356745533483832,0.62371384028458576
245.610,268541.856684505,2,31,1,32,268540952094416,268540.95659892104,411063f3d38eaae5,0.014599430291698618,0.082086596501555004,-0.10779485873595127,-0.050145763433136592,0.88519802703043093,-0.0061079534888521247,0.4624636217777553,0.013469977239417742,0.11537823284331511,-0.10234029757511606,0.32269217909437664,-0.331330129526832,-0.59047110252460755,0.66138791938047226
12.816,268541.856684505,1,57,1,58,268541818843500,268541.82334800501,411063f74b1bbd4b,0.032822295328217878,0.066098576606054435,-0.23224129598720605,-0.045809967399754792,0.84571011537976037,0.0045528202434091947,0.53165324476720432,0.030539378491422058,0.099207283389940309,-0.22607990184451859,0.37915493459447247,-0.372716274630505,-0.56561480385990182,0.63039987932481711
231.851,268541.956693880,2,36,1,37,268541118776916,268541.12328142102,411063f47e3d7c1e,0.020686322468258085,0.094747844515844684,-0.13082096208919441,-0.044954035167183326,0.87921118240691765,-0.002964772424187162,0.47429747499830777,0.019593386383636193,0.12798098469308269,-0.12501365319078198,0.33328254131774759,-0.33747536257782762,-0.58990887037130335,0.65348347489664993
12.428,268541.956693880,1,60,1,61,268541918852958,268541.92335746303,411063f7b1849e69,0.038582838876306813,0.063622656697720048,-0.25406990953284636,-0.044735500183096966,0.84816363592461075,0.0013800196189794334,0.52784025090631714,0.036531689699989024,0.096771035152395976,-0.24804174688999514,0.37421523207335627,-0.37226358966378048,-0.5681094678636337,0.63137501725885514
211.872,268542.056703338,2,39,1,40,268541218786500,268541.22329100501,411063f4e4a665b0,0.020722089929321379,0.098546560513748299,-0.14454015723053959,-0.041382305143748466,0.87416740849720309,-0.0026355542083530137,0.48385116906830838,0.019683722577255616,0.1317573364972468,-0.13859649642404645,0.34027081542700155,-0.34399805183365612,-0.58886797818480507,0.64739139380426802
179.740,268542.056703338,2,42,0,43,268541318796083,268541.323300588,411063f54b0f4f31,0.014776973044806576,0.10271197368546281,-0.15689647617978666,-0.036803579586187296,0.86267208108335081,-0.0042487108145804475,0.50440497491386616,0.013739035264073789,0.13591215869729764,-0.15089386405589719,0.35366387658786885,-0.35967246088458393,-0.58397720223957927,0.6360253222494382
