local_index,frame_id,is_suspect,fx,fy,cx,cy,fx_over_width,fy_over_height,cx_over_width,cy_over_height,fx_fy_ratio,fov_x_deg,fov_y_deg,image_width,image_height
22,cap-96,False,348.59136962890625,345.63165283203125,252.0,140.0,0.6916495429144965,1.2343987601143973,0.5,0.5,1.008563211073476,71.72704493896659,44.10135792061588,504,280
23,cap-103,False,354.033935546875,348.7903137207031,252.0,140.0,0.7024482848152281,1.245679691859654,0.5,0.5,1.0150337369470952,70.88623107296962,43.739798308377885,504,280
24,cap-105,False,355.2876892089844,351.25604248046875,252.0,140.0,0.7049358912876674,1.254485866001674,0.5,0.5,1.0114778003533984,70.69496315535203,43.461451598856414,504,280
25,cap-107,False,354.4389953613281,351.5726318359375,252.0,140.0,0.7032519749232701,1.2556165422712053,0.5,0.5,1.0081529768412925,70.82433838258198,43.42595705737007,504,280
26,cap-109,False,353.82611083984375,350.5877990722656,252.0,140.0,0.7020359342060392,1.2520992824009487,0.5,0.5,1.0092368068031672,70.9180229611575,43.53655352673534,504,280
27,cap-114,False,355.72113037109375,353.7043151855469,252.0,140.0,0.70579589359344,1.263229697091239,0.5,0.5,1.0057019807193726,70.62904769859094,43.188391898517985,504,280
28,cap-116,False,354.8575439453125,353.5536804199219,252.0,140.0,0.7040824284629216,1.2626917157854354,0.5,0.5,1.0036878799390294,70.76048325722034,43.20509807417156,504,280
29,cap-118,False,354.51806640625,353.6335754394531,252.0,140.0,0.7034088619171627,1.262977055140904,0.5,0.5,1.0025011509885557,70.81226737359715,43.196235770404925,504,280
30,cap-122,False,354.1182556152344,353.63421630859375,252.0,140.0,0.7026155865381635,1.2629793439592634,0.5,0.5,1.0013687569932945,70.87333931285647,43.19616469640253,504,280
31,cap-124,False,354.6055908203125,353.1759033203125,252.0,140.0,0.703582521468874,1.2613425118582589,0.5,0.5,1.0040480890303078,70.79891004136118,43.2470496905681,504,280
32,cap-126,False,354.5269775390625,351.9588623046875,252.0,140.0,0.7034265427362352,1.2569959368024552,0.5,0.5,1.0072966346622403,70.81090722171638,43.382729321378754,504,280
33,cap-128,False,352.9027404785156,349.5341491699219,252.0,140.0,0.700203850155785,1.2483362470354353,0.5,0.5,1.0096373739635842,71.05957517622075,43.655473053002005,504,280
34,cap-131,False,353.5882873535156,349.0753479003906,252.0,140.0,0.7015640622093564,1.2466976710728237,0.5,0.5,1.0129282674364413,70.95443431319667,43.7074486883899,504,280
