transition_index,from_local_index,to_local_index,from_frame_id,to_frame_id,contains_suspect,center_distance,dx,dy,dz,rotation_angle_deg,forward_angle_deg,right_angle_deg,down_angle_deg
19,19,20,cap-74,cap-78,True,0.013656585179617368,0.005286969970054542,0.0025220776591870437,0.012336506457863824,1.5120609327750612,1.4427905359777902,1.4991202894749747,0.49387000824893146
20,20,21,cap-78,cap-80,True,0.004160722428089409,-0.0012273346423750144,-0.001997635007201987,0.003437254016978312,1.494103690284198,1.2897840301731966,1.0293255489291946,1.3198151738776944
21,21,22,cap-80,cap-96,True,0.14025431809910976,-0.04149749643932102,-0.06960213560556221,0.11447608594750143,13.314543952166664,10.780341473845827,10.426846584996289,11.36183467207216
22,22,23,cap-96,cap-103,False,0.08381147433689465,0.009089678811937119,-0.0731948215510807,0.03980275201195546,9.290000497766375,9.194707216784858,1.5054094263719837,9.262263199657976
23,23,24,cap-103,cap-105,False,0.015589770056773311,0.0007533256729919113,-0.01536028635543063,0.002556371243119554,2.948990467857236,2.9487102680210597,1.2206393644535516,2.684723707340913
24,24,25,cap-105,cap-107,False,0.014164960357700068,0.006007525869688557,-0.012640778821743914,0.0021832191003167134,3.4143397030977547,3.3981782901930884,1.615720151688996,3.025878324344311
25,25,26,cap-107,cap-109,False,0.017203874772023724,-0.003138687430209508,-0.014102102184516574,0.00934091335814502,1.428557117511325,0.12676798260855152,1.425094933425327,1.426364723757143
26,26,27,cap-109,cap-114,False,0.045478091112842664,0.010117950246428586,-0.03592148678567497,0.025990972301654924,2.3267902260505773,2.3092972125974796,0.6067142860543646,2.2641510185887306
27,27,28,cap-114,cap-116,False,0.028005453967432238,-0.00017196163406496545,-0.018987116475270793,0.02058556020789515,1.2653165201469265,1.1822474459277243,0.47224628162406534,1.257299653323796
28,28,29,cap-116,cap-118,False,0.009932559506453763,-0.006041042437357036,-0.0032186425218322934,-0.007197352633847354,1.7831299183288265,0.9210390172129578,1.6087856786300463,1.7095377350726175
29,29,30,cap-118,cap-122,False,0.0255757837950598,-0.0012957040797009212,-0.01689057383124859,0.019161168631391723,1.1922154807600618,1.1918843354652617,0.1479035973513024,1.1833212652838339
30,30,31,cap-122,cap-124,False,0.03132489387652475,0.010676719668102796,0.027337092100102267,-0.01095171351957358,2.162231146218605,2.153447168360374,0.4584918363691436,2.1220383742414164
31,31,32,cap-124,cap-126,False,0.021400977957108883,0.005484522148912818,0.015705167302525913,0.013463639712886555,1.780899563325849,1.760421413176124,0.6675981095215736,1.6728134585711292
32,32,33,cap-126,cap-128,False,0.03371344377389594,0.01825080069598317,0.025700394339398858,-0.011958022238252375,5.323767867735327,5.198824867230924,3.9009194063101384,3.798481671667094
33,33,34,cap-128,cap-131,False,0.0307330715083013,0.00751670168969909,0.025643512683863112,-0.01517995840821007,2.4109537072274647,2.2236851468545598,0.9321317199665371,2.410720091375063
